earth2_rank,pl_name,hostname,pl_rade,hz_conservative,sy_dist,tran_flag,indexed_reductions,spectral_points,spectral_coverage_status
1.0,GJ 1061 d,GJ 1061,1.16,1.0,3.67278,0,0,0,NO_ARCHIVED_SPECTRUM
2.0,Proxima Cen b,Proxima Cen,1.02,1.0,1.30119,0,0,0,NO_ARCHIVED_SPECTRUM
3.0,GJ 1002 b,GJ 1002,1.03,1.0,4.84867,0,0,0,NO_ARCHIVED_SPECTRUM
4.0,Wolf 1069 b,Wolf 1069,1.08,1.0,9.58341,0,0,0,NO_ARCHIVED_SPECTRUM
5.0,Teegarden's Star c,Teegarden's Star,1.02,1.0,3.83078,0,0,0,NO_ARCHIVED_SPECTRUM
6.0,Kepler-1649 c,Kepler-1649,1.06,1.0,92.1913,1,0,0,NO_ARCHIVED_SPECTRUM
7.0,GJ 1002 c,GJ 1002,1.1,1.0,4.84867,0,0,0,NO_ARCHIVED_SPECTRUM
8.0,Kepler-1229 b,Kepler-1229,1.4,1.0,265.482,1,0,0,NO_ARCHIVED_SPECTRUM
9.0,GJ 667 C f,GJ 667 C,1.45,1.0,7.24396,0,0,0,NO_ARCHIVED_SPECTRUM
10.0,TOI-700 d,TOI-700,1.145,1.0,31.1265,1,0,0,NO_ARCHIVED_SPECTRUM
11.0,Kepler-442 b,Kepler-442,1.34,1.0,365.965,1,0,0,NO_ARCHIVED_SPECTRUM
12.0,Kepler-186 f,Kepler-186,1.17,1.0,177.594,1,0,0,NO_ARCHIVED_SPECTRUM
13.0,GJ 667 C e,GJ 667 C,1.45,1.0,7.24396,0,0,0,NO_ARCHIVED_SPECTRUM
14.0,TOI-715 b,TOI-715,1.55,1.0,42.4048,1,0,0,NO_ARCHIVED_SPECTRUM
17.0,Kepler-62 f,Kepler-62,1.41,1.0,300.874,1,0,0,NO_ARCHIVED_SPECTRUM
