pl_name,hostname,pl_letter,is_control,earth2_rank,earth2_index,rankable,score_earth_similarity,score_conservative_habitability,score_observational_confidence,score_characterisation_potential,rank_earth_similarity,rank_conservative_habitability,rank_observational_confidence,rank_characterisation_potential,esi_global,esi_global_p16,esi_global_p50,esi_global_p84,esi_interior,esi_surface,hz_conservative,hz_optimistic,hz_conservative_prob,hz_optimistic_prob,hz_position_conservative,hz_conservative_clamped,hz_optimistic_clamped,hz_model_extrapolated,hz_teff_in_range,hz_teff_valid_fraction,hz_teff_offset_from_range_k,rocky_plausibility,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade_p16,pl_rade_p50,pl_rade_p84,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,mass_class,pl_dens_used,esi_density_source,pl_vesc_kms,insol_used,insol_source,teq_used,teq_source,teq_albedo_assumed,pl_orbper,pl_orbsmax,pl_orbeccen,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,st_teff,st_rad,st_mass,st_lum,st_met,st_age,st_spectype,sy_dist,ra,dec,sy_vmag,sy_jmag,sy_kmag,sy_gaiamag,sy_tmag,gaia_source_id,gaia_parallax_mas,gaia_parallax_error_mas,gaia_ruwe,gaia_non_single_star,gaia_pmra_masyr,gaia_pmdec_masyr,discoverymethod,disc_year,disc_facility,tran_flag,rv_flag,ttv_flag,pl_controv_flag,sy_snum,sy_pnum,n_references,n_param_sets,rade_rel_spread,composite_parameter_source_count,composite_uses_mixed_sources,default_solution_present,default_solution_parameter_coverage,default_solution_overlap_count,composite_default_median_fractional_difference,n_transmission_points,n_emission_points,has_atmosphere_data,transmission_facilities,emission_facilities,st_nrvc,st_nphot,st_nspec,mc_uncertainty_coverage,mc_params_without_uncertainty,tsm,esm,rv_semi_amplitude_ms,ephemeris_uncertainty_2030_minutes,followup_orbital_separation_au,followup_separation_source,max_angular_separation_mas,reflected_light_contrast_ag0p3,reflected_light_geometric_albedo_assumed,tic_id,hd_name,hip_name
Proxima Cen b,Proxima Cen,b,False,1,0.8766376268703134,True,0.9145615998844667,0.9471355520938911,0.7300000000000001,,6,2,1939,,0.9195018773363338,0.8961771071937616,0.9145615998844667,0.931810441511118,0.994540031264264,0.850125360313812,1.0,1.0,1.0,1.0,0.3500495130899777,1.0,1.0,False,True,0.99925,0.0,0.9478464369215823,1.02,,,1.02,1.02,1.02,1.055,0.055,-0.055,msini_lower_limit,5.46,catalogue,11.376297977227331,0.641,catalogue,227.44666565682567,derived_from_insolation_albedo_0.306,0.306,11.18465,0.04848,0.0,2457897.9,0.3,-0.2,2900.0,0.141,0.1221,-2.82102,,,M5.5 V,1.30119,217.3934657,-62.6761821,11.01,5.357,4.384,8.95361,7.36,,,,,,,,Radial Velocity,2016.0,European Southern Observatory,0,1,0.0,0.0,3.0,2.0,5.0,5.0,,3.0,True,True,0.8333333333333334,10.0,0.0,0,0,False,,,2.0,5.0,0.0,0.8333333333333334,1,,,1.225706843791866,,0.04848,catalogue,37.25820210730178,7.683929403806996e-08,0.3,TIC 388857263,,HIP 70890
GJ 1061 d,GJ 1061,d,False,2,0.8761647609588312,True,0.8748177656498253,0.8968735752145136,0.8458406069871643,,16,6,1647,,0.8796020645535796,0.8429893181707192,0.8748177656498253,0.9031339329641462,0.9613648072259677,0.8047931296751352,1.0,1.0,0.99625,1.0,0.4164542143611006,1.0,1.0,False,True,1.0,0.0,0.9002495108803148,1.16,,,1.16,1.16,1.16,1.67,0.17,-0.21,measured,5.88,catalogue,13.42159271986492,0.6,catalogue,223.7190053103433,derived_from_insolation_albedo_0.306,0.306,13.066,0.054,0.04,,,,2953.0,0.156,0.12,-2.76955,-0.08,7.0,M5.5 V,3.67278,54.0032486,-44.5143104,12.7,7.523,6.61,10.9889,9.47068,,,,,,,,Radial Velocity,2020.0,La Silla Observatory,0,1,0.0,0.0,1.0,3.0,2.0,2.0,,4.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,1.8651335822004744,,0.054,catalogue,14.70275921781321,8.010077235948965e-08,0.3,TIC 79611981,,
GJ 1002 b,GJ 1002,b,False,3,0.8486476553496938,True,0.9134987388129288,0.9453186827840592,0.6441593930128359,,7,3,2591,,0.9251038057139228,0.8966183705806008,0.9134987388129288,0.9269764981668525,0.9916694386758694,0.8630063789090007,1.0,1.0,1.0,1.0,0.30812166070770153,1.0,1.0,False,True,1.0,0.0,0.9453186827840592,1.03,,,1.03,1.03,1.03,1.08,0.13,-0.13,msini_lower_limit,5.43,catalogue,11.454287520485147,0.67,catalogue,229.97666289452434,derived_from_insolation_albedo_0.306,0.306,10.3465,0.0457,,2458583.27,0.22,-0.22,3024.0,0.137,0.12,-2.85201,-0.25,,M5.5 V,4.84867,1.6764641,-7.5462123,13.76,8.323,7.439,11.7804,10.2531,,,,,,,,Radial Velocity,2022.0,Multiple Observatories,0,1,0.0,0.0,1.0,2.0,1.0,1.0,,3.0,True,True,0.8181818181818182,9.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,1.3027373105074243,,0.0457,catalogue,9.425265072690035,8.817597979908257e-08,0.3,TIC 176287658,,
Earth,Sun,,True,,0.848411446561805,True,1.0,0.9525741268224334,0.56,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05456932529098434,1.0,1.0,False,True,1.0,0.0,0.9525741268224334,1.0,,,1.0,1.0,1.0,1.0,,,measured,5.514,catalogue,11.186,1.0,catalogue,254.1938664804574,derived_from_insolation_albedo_0.306,0.306,365.256,1.0,0.0167,,,,5772.0,1.0,1.0,0.0,0.0,4.6,,0.0,,,,,,,,,,,,,,,Solar System reference,,Solar System,0,0,,,,,,,,,,,,,,0,0,False,,,,,,0.0,6,,,0.08947193293800927,,1.0,catalogue,,1.7358342167083225e-10,0.3,,,
Wolf 1069 b,Wolf 1069,b,False,4,0.8391858156228377,True,0.9004197618661659,0.9308615796566533,0.6441593930128359,,12,4,2591,,0.9144998004614782,0.8801055655835236,0.9004197618661659,0.9130754324410908,0.9882116540786959,0.846286199512361,1.0,1.0,1.0,1.0,0.34074409336414485,1.0,1.0,False,True,1.0,0.0,0.9308615796566533,1.08,,,1.08,1.08,1.08,1.26,0.21,-0.21,msini_lower_limit,5.5,catalogue,12.082260908731719,0.652,catalogue,228.41623358219027,derived_from_insolation_albedo_0.306,0.306,15.564,0.0672,,,,,3158.0,0.1813,0.167,-2.53106,0.07,,M5.0 V,9.58341,306.5242477,58.5753044,13.993,9.029,8.095,12.3653,10.9072,,,,,,,,Radial Velocity,2023.0,Calar Alto Observatory,0,1,0.0,0.0,1.0,1.0,1.0,1.0,,3.0,True,True,0.8181818181818182,9.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,1.0641565024048756,,0.0672,catalogue,7.012117816100949,4.4835003684111654e-08,0.3,TIC 352617553,,
Teegarden's Star c,Teegarden's Star,c,False,5,0.8234438296042274,True,0.8073822349821854,0.9478464369215823,0.6758406069871642,,46,1,2116,,0.8191043195463501,0.7913108870490275,0.8073822349821854,0.8201380727359663,0.9935585235009278,0.6752816974840866,1.0,1.0,1.0,1.0,0.8141609349824024,1.0,1.0,False,True,1.0,0.0,0.9478464369215823,1.02,,,1.02,1.02,1.02,1.05,0.14,-0.13,msini_lower_limit,5.44,catalogue,11.349307908414504,0.35,catalogue,195.51589854971013,derived_from_insolation_albedo_0.306,0.306,11.416,0.0455,0.04,,,,3034.0,0.12,0.097,-3.14146,-0.11,8.0,M7.0 V,3.83078,43.2691449,16.8649024,15.13,8.394,7.585,12.2746,10.565,,,,,,,,Radial Velocity,2019.0,Calar Alto Observatory,0,1,0.0,0.0,1.0,3.0,2.0,2.0,,4.0,True,True,0.8333333333333334,10.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,1.4136265634514933,,0.0455,catalogue,11.877476649664038,8.723400164537322e-08,0.3,TIC 257870150,,
Kepler-1649 c,Kepler-1649,c,False,6,0.7729866453824396,True,0.8865936475348906,0.8975503093549545,0.5023187860256716,0.42780946615907894,15,5,5779,3651,0.940428331576086,0.807078483989103,0.8865936475348906,0.9291899256869383,0.9903626311099513,0.8930117302990129,1.0,1.0,0.95825,0.968,0.1880251847361018,1.0,1.0,False,True,1.0,0.0,0.9366556841690107,1.06,0.15,-0.1,0.9607766197074217,1.0612538855624445,1.2121590372347872,1.2,,,inferred_mass_radius,5.54,catalogue,11.901796090871295,0.75,catalogue,236.55404730066394,derived_from_insolation_albedo_0.306,0.306,19.53527,0.0649,0.0,2455410.9777,0.0033,-0.0033,3240.0,0.2317,0.1977,-2.28735,-0.15,,,92.1913,292.5029676,41.8299933,17.95,13.379,12.589,16.2682,14.9673,,,,,,,,Transit,2020.0,Kepler,1,0,0.0,0.0,1.0,2.0,3.0,3.0,0.6666666666666666,4.0,True,True,0.6666666666666666,8.0,0.0,0,0,False,,,0.0,0.0,0.0,0.6666666666666667,2,1.9205622952337384,0.02211839745798896,0.8395720187508777,52.487555553673864,0.0649,catalogue,0.7039709820774847,4.6305287164405395e-08,0.3,TIC 137558813,,
GJ 1002 c,GJ 1002,c,False,7,0.770041324354173,True,0.750979626325617,0.880014048074771,0.6441593930128359,,82,7,2591,,0.7590085988679258,0.7369943180640267,0.750979626325617,0.7630131154068485,0.9816285715326099,0.5868757999331665,1.0,1.0,0.95225,0.9995,0.9607439641072809,1.0,1.0,False,True,1.0,0.0,0.9241418199787566,1.1,,,1.1,1.1,1.1,1.36,0.17,-0.17,msini_lower_limit,5.61,catalogue,12.437924796217562,0.257,catalogue,180.98740283131883,derived_from_insolation_albedo_0.306,0.306,21.202,0.0738,,2458585.54,0.5,-0.5,3024.0,0.137,0.12,-2.85201,-0.25,,M5.5 V,4.84867,1.6764641,-7.5462123,13.76,8.323,7.439,11.7804,10.2531,,,,,,,,Radial Velocity,2022.0,Multiple Observatories,0,1,0.0,0.0,1.0,2.0,1.0,1.0,,3.0,True,True,0.8181818181818182,9.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,,,1.291542948850903,,0.0738,catalogue,15.220668760711701,3.856389498859934e-08,0.3,TIC 176287658,,
Mars,Sun,,True,,0.7667950878411831,True,0.7124472590176216,0.9952270198852368,0.56,,,,,,0.7124724126063309,0.7124472590176216,0.7124472590176216,0.7124472590176216,0.8172599288608863,0.6211205527140095,1.0,1.0,1.0,1.0,0.882469443324219,1.0,1.0,False,True,1.0,0.0,0.9952270198852368,0.532,,,0.532,0.532,0.532,0.1074,,,measured,3.934,catalogue,5.02598443774163,0.431,catalogue,205.96071207723625,derived_from_insolation_albedo_0.306,0.306,686.98,1.5237,0.0934,,,,5772.0,1.0,1.0,0.0,0.0,4.6,,0.0,,,,,,,,,,,,,,,Solar System reference,,Solar System,0,0,,,,,,,,,,,,,,0,0,False,,,,,,0.0,6,,,0.007817808085939449,,1.5237,catalogue,,2.1160823967839013e-11,0.3,,,
Kepler-1229 b,Kepler-1229,b,False,8,0.7160949706863473,True,0.8190714790170867,0.7332013427745031,0.5713138686131387,0.20874055347580386,41,8,3894,4309,0.8334925255159503,0.7916925871936701,0.8190714790170867,0.8406359430269148,0.9288639468808911,0.7479133972459373,1.0,1.0,1.0,1.0,0.5694740435418011,1.0,1.0,False,True,1.0,0.0,0.7332013427745031,1.4,0.11,-0.13,1.267589926418627,1.3978147867575736,1.5068867958424834,2.54,,,inferred_mass_radius,5.09,catalogue,15.067030085587538,0.524,catalogue,216.27080106526836,derived_from_insolation_albedo_0.306,0.306,86.828989,0.3006,0.0,2455022.26884,0.00777,-0.00777,3784.0,0.51,0.54,-1.533,-0.06,3.72,,265.482,297.4868347,46.9966782,16.124,13.228,12.374,15.5104,14.4978,,,,,,,,Transit,2016.0,Kepler,1,0,0.0,0.0,1.0,1.0,11.0,11.0,0.6890510948905109,6.0,True,True,0.5,6.0,0.0,0,0,False,,,0.0,0.0,0.0,0.8333333333333334,1,0.4228843960051794,0.003820617805699387,0.5531443050228535,132.8569414055645,0.3006,catalogue,1.1322801545867514,3.765185380789001e-09,0.3,TIC 273373582,,
